No._Ruas,Nama_Ruas_Jalan,Kec._Yang_dilalui,Panjang_Ruas_(Km),Lebar_Ruas_(m),P.Aspal,P.Beton,P.Kerikil,P.Tanah,KB%,KB_Km,KS%,KS_Km,KRR%,KRR_Km,KRB%,KRB_Km,LHR_Rerata,Akses_Ke_Jalan,Ket.,Prioritas_Jalan,Total_Kondisi,Total_Kerusakan,Kategori_Kerusakan
34044,DONDANG - SIMP. SAMBOJA,Kutai Kartanegara,44.67,6.0,23.01,21.66,0.0,0.0,13.64,6.09,66.98,29.92,19.38,8.66,0.0,0.0,-,-,P,Prioritas,80.62,19.38,Baik
34045,SIMP. SAMBOJA - KM. 38,Kutai Kartanegara,7.1,7.0,5.91,1.19,0.0,0.0,0.0,0.0,100.0,7.1,0.0,0.0,0.0,0.0,-,-,N,Non Prioritas,100.0,0.0,Baik
34046,SIMP. SAMBOJA -BTS. BALIKPAPAN,Kutai Kartanegara,16.21,6.0,15.09,1.13,0.0,0.0,50.55,8.19,48.22,7.82,1.23,0.2,0.0,0.0,-,-,P,Prioritas,98.77,1.23,Baik
34047,SIMP. 3 KOTA BANGUN - KOTA BANGUN,Kutai Kartanegara,25.78,4.5,15.55,10.23,0.0,0.0,59.85,15.43,35.3,9.1,0.97,0.25,3.88,1.0,-,-,N,Prioritas,95.15,4.85,Baik
34048,SIMP. 3 PATUNG LEMBUSWANA - SIMP. 3 SEBULU,Kutai Kartanegara,44.14,7.0,10.89,33.25,0.0,0.0,21.86,9.65,78.14,34.49,0.0,0.0,0.0,0.0,-,-,P,Non Prioritas,100.0,0.0,Baik
34049,SIMP. 3 SEBULU - MUARA KAMAN,Kutai Kartanegara,44.06,5.0,0.0,44.06,0.0,0.0,76.76,33.82,23.24,10.24,0.0,0.0,0.0,0.0,-,-,P,Non Prioritas,100.0,0.0,Baik
34050,SIMP. 3 SEBULU - KM. 5.2 MUARA BENGKAL,Kutai Kartanegara,5.21,7.0,0.0,5.21,0.0,0.0,9.79,0.51,90.21,4.7,0.0,0.0,0.0,0.0,-,-,P,Non Prioritas,100.0,0.0,Baik
34 051 K,JL. MULAWARMAN (BTS. KUKAR - SIMP. 3 TOL BALSAM),Balikpapan,13.76,8.0,13.76,0.0,0.0,0.0,14.53,2.0,85.47,11.76,0.0,0.0,0.0,0.0,-,-,N,Non Prioritas,100.0,0.0,Baik
34 052 K,JL. SOEKARNO HATTA KM.0 - KM 4 (BALIKPAPAN),Balikpapan,4.33,7.0,3.82,0.51,0.0,0.0,0.0,0.0,97.69,4.23,2.31,0.1,0.0,0.0,-,-,N,Prioritas,97.69,2.31,Baik
34 053 K,JL. AHMAD YANI (SIMP. 4 RAPAK - LETJEN SOEPRAPTO),Balikpapan,0.8,11.0,0.8,0.0,0.0,0.0,0.0,0.0,100.0,0.8,0.0,0.0,0.0,0.0,-,-,P,Non Prioritas,100.0,0.0,Baik
